,CT_Jurkat_Empty_H3K27ac,CT_Jurkat_Tax_H3K27ac,CT_TL-Om1_Empty_H3K27ac,CT_TL-Om1_Tax_H3K27ac
ADAMTS9,0.5254944026470184,0.22122980624437333,0.3505170904099941,0.17822838932275772
ADAMTSL1,0.1254911994934082,0.3819346338510513,0.13353035151958464,0.23763753443956376
ADAMTSL2,1.1404012771844865,1.4692998945713043,0.5544548141360283,0.18713972568511963
ADAMTSL3,1.6000128161907197,0.3372710485458374,0.4776743901669979,0.2513017117381096
ADAMTSL4,2.5094319580197335,2.2763698850870133,2.393836556106806,2.3353789224922656
ADAMTSL5,1.98354525411129,3.3355588852763174,0.8069483749568462,0.7758863472640515
ADAP1,1.1043225615024566,0.8187591528892517,0.9524664752632379,0.7154367226213216
ADAP2,6.444757179141044,9.701129539251328,16.08161901906133,13.506104912489652
ADAR,9.525568500757217,26.026626496315004,14.713085115358233,16.780147761255503
ADARB1,3.1964963454008104,3.1203820323348044,2.072756715118885,1.8713939048349857
ADARB2,0.7196136179566384,0.08243942692875862,11.042057017087936,7.801919865757227
ADAT1,5.858871486186981,12.123801783919335,8.48980588272214,9.53815639346838
ADAT2,5.403966198563576,9.232163810133933,10.385028389841318,10.17532281383872
ADAT3,4.249446453332901,9.952203273355961,9.105108717232943,8.9449557941854
ADCK1,3.5561071982383727,5.427222421348095,6.567574270516634,7.237534658312797
ADCK2,3.092182180583477,4.025963555723429,4.1644803323596715,3.463559961169958
ADCK5,7.350255364716053,6.581163524508476,16.16431713834405,15.531217622205615
ADCY1,0.9804000002145767,0.5906419423222542,0.5295692212879658,0.4396293005347252
ADCY10,1.915701776444912,1.761489868760109,0.7040693487226963,0.39433004580438136
ADCY2,0.8431439965963363,0.13357277750968932,0.12290865063667297,0.1859513867497444
ADCY3,5.023569909334182,4.207328357160091,33.99169757798314,32.793320843458176
ADCY4,2.062369821667671,1.868556552529335,1.4390938560068607,1.040257357209921
ADCY5,0.996086397767067,0.31306110620498656,0.25643917322158816,0.3163547828793526
ADCY6,1.1262835273742675,1.2570445467233657,0.6723559628278017,0.5574082961082458
ADCY7,2.407862429022789,2.181617453664541,1.6650338298678398,0.8805949632078409
ADCY8,0.9964786275029183,0.10017947673797607,0.17905214816331863,0.31873127433657644
ADCY9,0.7207900800704956,1.1336984652280808,0.6130257613956929,0.5937965012490749
ADCYAP1,1.1647152096033095,1.0834000171124936,0.5204649306833744,0.1859514619410038
ADCYAP1R1,0.49725887799263,0.4583215693831444,0.31227881851792333,0.17971346899867058
ADD1,10.367925044536591,22.62511625903845,15.799688334554434,18.231220758110286
ADD2,0.3666695985198021,0.7774350064992904,1.1145237874984741,0.4180932542681694
ADD3,1.5811891403198242,1.0998881396651268,0.3031745232343674,0.1782282418012619
ADGB,0.8353008049726486,0.0,0.6934477035701275,0.28219461902976034
ADGRA1,1.5960912120342254,0.7079353817105293,0.05826787376403809,0.09356968089938164
ADGRA2,4.756901115179062,7.653291603028774,2.4598430743962525,1.7010370618999004
ADGRA3,1.1921664083003998,2.6180241436362266,7.902575693428516,6.186586372077465
ADGRB1,0.6549072033166885,0.7367369836568832,0.3505170042812824,0.24654881179332733
ADGRB2,3.1647318065166474,3.0692489113211634,1.2829539576470852,1.2118014899790288
ADGRB3,0.6431424027681351,0.24418772399425506,0.23944430354237556,0.3460597461462021
ADGRD1,0.8156928074359894,0.2364653318822384,0.3787406826019287,0.04752754032611847
ADGRD2,1.8243283388614655,1.2127987757623195,0.4096956017613411,0.435173916220665
ADGRE1,1.3105987343788148,0.6302964547276497,0.09711308240890502,0.0
ADGRE2,0.686279998421669,0.7722171485424042,0.14415213987231254,0.4589374579489231
ADGRE3,8.38987096619606,13.895100218474864,13.873059877499937,13.168068517148495
ADGRE5,8.113788433074951,10.422003886014224,34.47604605996609,38.35447891587019
ADGRF1,0.20392319917678833,0.11061492711305618,0.37479548826813697,0.1336712846159935
ADGRF3,15.444436403155327,37.59881988728046,46.4488746201098,44.30758574306965
ADGRF4,0.12156959950923919,0.17531419575214385,0.14415194734930992,0.045151207566261294
ADGRF5,0.3854932784438133,0.11750222352147102,0.2848144723922014,0.046042209416627886
ADGRG1,1.3058928114175796,0.6866474869251251,7.670111354261636,14.388032245755195
ADGRG2,0.0,0.1293985515832901,0.18147997066378593,0.0
ADGRG3,2.8757092248797416,1.273114815056324,0.4075713023543358,0.37873495191335677
