,Empty,IRF4,Empty_Tax,IRF4_Tax
ACTR1B,41.883683133006095,45.332945778250696,35.96351889336109,42.426864747405055
ACTR2,31.863071156024933,31.29995828104019,26.799704029202463,29.444666175365448
ACTR3,39.09281360095739,40.607485436201095,34.10839254018664,36.23484720623493
ACTR3B,20.302591756999494,15.089627868771553,16.877344144701958,17.010723811745642
ACTR3C,31.813981386423112,36.271260151863096,29.691211570352316,31.30297699332237
ACTR5,59.02158937811851,52.214677560329434,51.354932763278484,60.880605154037475
ACTR6,16.503183028578757,14.790699706315994,13.188634262263776,11.891811237096787
ACTR8,23.262808920264245,29.187255156755448,21.069900013893843,24.486034010171892
ACTRT1,0.1518057632446289,0.44550990641117094,0.1790563803613186,0.1783883798122406
ACTRT2,0.4556544094085693,0.8615887530446052,1.1698804077357055,0.30660550594329833
ACTRT3,8.004193232536316,7.603098264336586,7.082674199730158,6.944881366014481
ACVR1,20.657437677383424,12.667022991776467,17.96116375684738,19.79274207472801
ACVR1B,21.17262790131569,12.501402406573295,18.407417808830736,18.14906545573473
ACVR1C,7.638201419234276,6.844808729887009,6.383106056272983,7.524644293665886
ACVR2A,4.717123919665814,3.1627164540290833,8.094090755671262,5.479029421389103
ACVR2B,17.955768469572067,16.700853605270385,16.843794953525066,20.863077258467673
ACVRL1,2.4336341799497605,2.0180680352449416,2.702503231525421,1.996277415394783
ACY1,41.7015080678463,47.349858922958376,38.05295364141464,38.75766318142414
ACY3,7.445592717528343,8.526438065767287,6.708834356963634,7.913196321129799
