set,n_genes,CSI,collection,z,pct,risk
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,106,2.5451789828530917,Reactome,5.594774129463319,1.0,high
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,77,2.543921924484162,Reactome,4.147289532171886,1.0,high
REACTOME_COMPLEMENT_CASCADE,107,2.541507591752116,Reactome,5.586538326898767,1.0,high
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,122,2.5402825993471696,Reactome,5.141940562532104,1.0,high
REACTOME_L1CAM_INTERACTIONS,120,2.5033621355169435,Reactome,5.064807722210903,1.0,high
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,24,2.502248054397131,Reactome,4.069673243037734,0.9916666666666667,high
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,125,2.493718807333361,Reactome,5.04466124473517,1.0,high
HALLMARK_MYOGENESIS,178,2.4394844654536354,Hallmark,5.1515332829254,1.0,high
KEGG_HEMATOPOIETIC_CELL_LINEAGE,84,2.4377557417917726,KEGG,3.9699412822981306,1.0,high
HALLMARK_COMPLEMENT,197,2.4377168166897825,Hallmark,2.6909251046854066,0.9916666666666667,caution
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,282,2.42462114670579,Reactome,5.118416618604947,1.0,high
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,49,2.4202162605191546,Reactome,4.6501823224962235,1.0,high
KEGG_NITROGEN_METABOLISM,22,2.3978424287463773,KEGG,3.898437812629748,0.9916666666666667,high
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,274,2.3930429975527225,Reactome,5.052544991134946,1.0,high
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,31,2.387811023466102,Reactome,3.881985327526016,0.9916666666666667,high
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS,31,2.374605389364551,Reactome,3.8603267969143262,0.9916666666666667,high
REACTOME_SIGNALING_BY_INTERLEUKINS,441,2.3709750562074285,Reactome,4.677585100389187,0.9916666666666667,high
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42,19,2.329779205716297,Reactome,4.116548683682332,1.0,high
REACTOME_CYTOPROTECTION_BY_HMOX1,56,2.3190990463913503,Reactome,4.451359493101047,0.9916666666666667,high
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,16,2.3163018406898157,Reactome,4.0929520787196365,1.0,high
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,16,2.30883776486949,Reactome,4.079883734262262,1.0,high
KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY,22,2.2941490718534125,KEGG_MEDICUS,3.7283705725998764,0.9916666666666667,high
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,25,2.289234725307708,Reactome,3.720310563949168,0.9916666666666667,high
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,2.27477460829748,Hallmark,4.364206081397714,0.9916666666666667,high
KEGG_STARCH_AND_SUCROSE_METABOLISM,43,2.2679336635730154,KEGG,4.350754998932814,0.9916666666666667,high
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,31,2.262302696619106,Reactome,3.676139404631761,0.9916666666666667,high
KEGG_AUTOIMMUNE_THYROID_DISEASE,40,2.2585219724599583,KEGG,4.3322491582346485,0.9916666666666667,high
HALLMARK_APICAL_JUNCTION,190,2.2539992960954,Hallmark,2.48231167241174,0.9916666666666667,caution
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY,22,2.203453390392016,Reactome,3.5796207906375703,0.9916666666666667,high
KEGG_ACUTE_MYELOID_LEUKEMIA,57,2.1901508796306013,KEGG,4.197813748374646,0.9916666666666667,high
REACTOME_ERBB2_REGULATES_CELL_MOTILITY,15,2.1894819576849307,Reactome,3.8709117411015965,1.0,high
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY,30,2.1816412889395984,KEGG_MEDICUS,3.5438468123961937,0.9833333333333333,high
REACTOME_CELLULAR_HEXOSE_TRANSPORT,18,2.1710009385210873,Reactome,3.8385545772449863,1.0,high
REACTOME_EGFR_DOWNREGULATION,31,2.1704410946668995,Reactome,3.525477399110418,0.9833333333333333,high
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,56,2.1580757083447244,Reactome,4.134745591647814,0.9916666666666667,high
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,441,2.150111905249606,Reactome,4.225733066484982,0.9916666666666667,high
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,545,2.1352616588540276,Reactome,3.871503942144149,0.9916666666666667,high
REACTOME_SIGNALING_BY_ERBB2,50,2.11482681717859,Reactome,4.049706985867135,0.9916666666666667,high
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,166,2.1092852527935126,Reactome,4.471572821403978,1.0,high
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,16,2.0883113385243695,Reactome,3.693778961105483,1.0,high
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,17,2.0615810626034636,Reactome,3.6469787327069705,1.0,high
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,26,2.0611492653598287,Reactome,3.3462281171409343,0.9833333333333333,high
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR,18,2.0610250601630256,Reactome,3.646005265718465,1.0,high
REACTOME_HEME_SIGNALING,48,2.0538032816709166,Reactome,3.929718791038136,0.9916666666666667,high
REACTOME_SIGNALING_BY_VEGF,104,2.0489972092038102,Reactome,4.4817205180355275,0.9916666666666667,high
REACTOME_SYNTHESIS_OF_PC,27,2.041936666096864,Reactome,3.314717576559004,0.9833333333333333,high
KEGG_PRIMARY_IMMUNODEFICIENCY,35,2.0401757443314605,KEGG,3.31182949275572,0.9833333333333333,high
