Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM831254,0,0,0.0149768853670799,0.0180110280004065,0.0390428068664647,0.629556106084147,0.0338598777034786,0.0447649894471792,0.0123297256986345,0,0.130104356679619,0,0.0409890487157954,0.00848918524970553,0.001478637569793,0.006762879823995,0.00278322774605894,0.00146289453168897,0,0.0118857899202141,0.00350256059573974,0,0,0.379097260341286,0.948217765022934
GSM831255,0.027073271018798,0,0,0,0.0923652288539675,0.0843214975312313,0.10489603401089,0.169158745007095,0.237451826786418,0,0.189117318311912,0,0.0498501974271042,0.0136036964069995,0.0010652653377349,0.00634556153192876,0.00151797749842524,0,0.00175603756163107,0.000811437101542372,0.0206659056143221,0,0,0.27262896504448,0.996933797065356
GSM831256,0,0,0.00455077200055786,0.0336510781366228,0.176586290686856,0.486689328512206,0.0859497419386625,0.0211633855669852,0.00602194606530331,0,0.0178429267433093,0,0.138630299234864,0,0,0,0,0.000328387244132956,0,0.0140632861327718,0.0145225577377277,0,0,0.408479485632634,0.923374608959144
GSM831257,0,0,0.0162260539337989,0.12261390353805,0.0156820122396919,0.275854452060857,0.0187173709060024,0.0146486098212354,0.187862937451756,0,0,0.104649469524671,0.166750262262874,0.00695579512397606,0,0.0189451588447228,0,0.0066564817973777,0.0412061049604691,0,0.0032313875345169,0,0,0.418212828036289,0.912089017677958
GSM831258,0,0,0.0174797669680221,0,0.33214882844883,0,0.00685434931376536,0.213731658956027,0.192045091057214,0,0.0206318828869755,0,0.111087789994779,0.00403010778826607,0,0.00321848899512476,0,4.1866150503847e-05,0,0.0858545205935713,0.0128756488469205,0,0,0.347422267258063,0.95465120183982
GSM831259,0.0177778212874936,0,0,0.143113080956959,0.0697163778808739,0.268498842746359,0.225822057646477,0,0,0,0.0552759112759728,0.0166643858602256,0.148516487841713,0,0,0,0,0.00307010675132669,0,0.0465005991768358,0.00504432857576382,0,0,0.411470664055292,0.914458165696412
GSM831260,0,0.00282633213181008,0.0053638818843209,0.00905123272278083,0.283204762006574,0.424725660743445,0.0187875937342379,0.0036277592610442,0.113077049705518,0,0.045732383187175,0,0.0695252122854037,0,0,0.00638497501307475,0,0.000362811637852018,0,0.0159325428712442,0.00139780281551892,0,0,0.434088349300859,0.914783103297287
GSM831261,0,0.083639208830416,0.0646109491924944,0.0670285547906805,0,0.175461026168513,0.0230981411224814,0.186649615828688,0.072116807294215,0,0.0635440270753272,0,0.125699037613628,0.0487796074094644,0,0.0189481176538523,0,0.0145838415801365,0,0.0234802660063033,0.00619271008588717,0.0261680893479135,0,0.416142348107531,0.908881882648266
GSM831262,0.0331460033953899,0,0,0.0211255830983774,0.0922981654121376,0.414827453348747,0.0622799682875089,0.00159804411111596,0.0358378722522103,0,0.00842761358482426,0.0407021185374065,0.227132348577176,0.0118954553198232,0,0,0,0.00961348016642733,0,0.0159432525876042,0.0251726413212508,0,0,0.458840858563534,0.88865400338941
GSM831263,0.0283148316329857,0,0.0111167450422369,0.0682356998837272,0,0.247915510718146,0.0334419313574808,0.00809442266061821,0.0526876622441944,0,0.00402885569590285,0.00395483842082132,0.489545047559251,0.0197455520739674,0,0,0,0.0051030302958796,0,0.0231163158528531,0.00469955656193556,0,0,0.507692997564471,0.861347974133356
